Alg.greedy_dp_prefixed	thm	Fredy/A10_1.lean	42	∀ {𝒜 : Type u} [inst : Alg.UnguardedPowerLCDA 𝒜] {F : Alg.Relator 𝒜 𝒜} {a b : 𝒜}, F.PreservesRecip → ∀ {h : Cat.Hom (F.obj a) a} {T : Cat.Hom (F.obj b) b} {R : Cat.Hom a a} {Q : Cat.Hom (F.obj b) (F.obj b)} {H : Cat.Hom b a}, Alg.Map h → Alg.MonotonicAlg h R → Cat.comp R R ⊑ R → Cat.comp T° (Cat.comp (F.map H) h) = H → Cat.comp Q° (Cat.comp (F.map H) h) ⊑ Cat.comp (F.map H) (Cat.comp h R°) → Cat.comp (Alg.A T°) (Cat.comp (Alg.minRel Q) (Cat.comp (F.map (Cat.comp (Alg.A H) (Alg.minRel R))) h)) ⊑ Cat.comp (Alg.A H) (Alg.minRel R)	**Core of Theorem 10.1**: `M = min R·ΛH` (mirrored `A H ≫ minRel R`) is a PREFIXED point of
Alg.greedy_dp	thm	Fredy/A10_1.lean	126	∀ {𝒜 : Type u} [inst : Alg.UnguardedPowerLCDA 𝒜] {F : Alg.Relator 𝒜 𝒜} {a b : 𝒜}, F.PreservesRecip → ∀ (I : Alg.InitialAlgebra F) {h : Cat.Hom (F.obj a) a} {T : Cat.Hom (F.obj b) b} {R : Cat.Hom a a} {Q : Cat.Hom (F.obj b) (F.obj b)}, Alg.Map h → Alg.MonotonicAlg h R → Cat.comp R R ⊑ R → Cat.comp Q° (Cat.comp (F.map (Cat.comp (Alg.relCata I T)° (Alg.relCata I h))) h) ⊑ Cat.comp (F.map (Cat.comp (Alg.relCata I T)° (Alg.relCata I h))) (Cat.comp h R°) → (Alg.mu fun X => Cat.comp (Alg.A T°) (Cat.comp (Alg.minRel Q) (Cat.comp (F.map X) h))) ⊑ Cat.comp (Alg.A (Cat.comp (Alg.relCata I T)° (Alg.relCata I h))) (Alg.minRel R)	**Theorem 10.1 (B&dM p.245)**, the GREEDY theorem as an extreme case of dynamic
Alg.Birelator.fixLeft_preservesRecip	thm	Fredy/A10_1.lean	152	∀ {𝒜 : Type u} [inst : Alg.UnguardedPowerLCDA 𝒜] {G : Alg.Birelator 𝒜}, G.PreservesRecip → ∀ (e : 𝒜), (G.fixLeft e).PreservesRecip	`G.fixLeft e` preserves converse whenever `G` does — `(G.fixLeft e).map R = G.map (id_e) R`
Alg.greedy_dp_of_birelator	thm	Fredy/A10_1.lean	160	∀ {𝒜 : Type u} [inst : Alg.UnguardedPowerLCDA 𝒜] {a b : 𝒜} {G : Alg.Birelator 𝒜}, G.PreservesRecip → ∀ {e : 𝒜} (I : Alg.InitialAlgebra (G.fixLeft e)) {h : Cat.Hom (G.obj e a) a} {T : Cat.Hom (G.obj e b) b} {R : Cat.Hom a a} {U : Cat.Hom e e} {V : Cat.Hom b b}, Alg.Map h → Cat.comp R R ⊑ R → Cat.id e ⊑ U → Cat.comp (G.map U R) h ⊑ Cat.comp h R → Cat.comp V° (Cat.comp (Alg.relCata I T)° (Alg.relCata I h)) ⊑ Cat.comp (Cat.comp (Alg.relCata I T)° (Alg.relCata I h)) R° → (Alg.mu fun X => Cat.comp (Alg.A T°) (Cat.comp (Alg.minRel (G.map U V)) (Cat.comp ((G.fixLeft e).map X) h))) ⊑ Cat.comp (Alg.A (Cat.comp (Alg.relCata I T)° (Alg.relCata I h))) (Alg.minRel R)	**B&dM p.246**, the greedy theorem via bifunctor conditions: with `Q := G(U,V)` for a
Alg.RelSet.Detab.St	def	Fredy/A10_2_Detab.lean	21	Alg.RelSet	The accumulator: `(output so far, current column)`.
Alg.RelSet.Detab.stepFn	def	Fredy/A10_2_Detab.lean	24	Nat → Char → Char → Char → (Alg.RelSet.SL.Fobj Unit Char Alg.RelSet.Detab.St).carrier → List Char × Nat	The tupled algebra `[base, step]` (B&dM p.247): `base = ([], 0)`, and `step` appends a
Alg.RelSet.Detab.detabAlg	def	Fredy/A10_2_Detab.lean	34	Nat → Char → Char → Char → Cat.Hom (Alg.RelSet.SL.Fobj Unit Char Alg.RelSet.Detab.St) Alg.RelSet.Detab.St	`[base, step] : F(output×col) → (output×col)`, a map (graph of `stepFn`).
Alg.RelSet.Detab.detabTupled	def	Fredy/A10_2_Detab.lean	37	Nat → Char → Char → Char → Cat.Hom (Alg.RelSet.SL.dSL Unit Char) Alg.RelSet.Detab.St	**The tupled catamorphism** `(detab, col·detab) = ⦇[base, step]⦈`, carrying `(output, column)`
Alg.RelSet.Detab.detab_wrap	thm	Fredy/A10_2_Detab.lean	41	∀ (n : Nat) (tb nl blank : Char) (r : List Char × Nat), Alg.RelSet.Detab.detabTupled n tb nl blank (Alg.RelSet.SL.SnocList.wrap ()) r ↔ r = ([], 0)	**§10.2 loop, base case**: on the empty input the accumulator is `([], 0)`.
Alg.RelSet.Detab.detab_snoc	thm	Fredy/A10_2_Detab.lean	45	∀ (n : Nat) (tb nl blank : Char) (x : Alg.RelSet.SL.SnocList Unit Char) (a : Char) (r : List Char × Nat), Alg.RelSet.Detab.detabTupled n tb nl blank (x.snoc a) r ↔ ∃ r', Alg.RelSet.Detab.detabTupled n tb nl blank x r' ∧ r = Alg.RelSet.Detab.stepFn n tb nl blank (Sum.inr (r', a))	**§10.2 loop, step case**: `⦇[base,step]⦈ (x `snoc` a) = step (⦇[base,step]⦈ x, a)` — the
